id,card_text
table:wp_zpm_projects,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_zpm_projects ACCESSED_BY_FUNCTIONS:ZephyrProjectManagerCoreProjects::get_projects() ZephyrProjectManagerCoreProjects::get_project() ZephyrProjectManagerCoreProjects::new_project() ZephyrProjectManagerCoreProjects::project_created_by() ZephyrProjectManagerCoreProjects::mark_complete() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/zephyr-project-manager/includes/ZephyrProjectManager.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Core/Projects.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/parts/new_task.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Base/AjaxHandler.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Api/Emails.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Pages/Admin.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/parts/project-single.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/tasks.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/parts/task-single.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/calendar.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/settings.php
table:wp_zpm_tasks,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_zpm_tasks ACCESSED_BY_FUNCTIONS:ZephyrProjectManagerBaseAjaxHandler->new_task() ZephyrProjectManagerCoreTasks::task_created_by() ACCESSED_BY_FILES:/var/www/html/wp-includes/class-wp-hook.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/parts/task-single.php
Call_Func:Abstract_WC_Order_Data_Store_CPT->read_items(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:Abstract_WC_Order_Data_Store_CPT->read_items() ACCESSES_TABLES:wp_woocommerce_order_items CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php
Call_Func:Abstract_WC_Order_Item_Type_Data_Store->create(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:Abstract_WC_Order_Item_Type_Data_Store->create() ACCESSES_TABLES:wp_woocommerce_order_items CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php
Call_Func:ActionScheduler_DBLogger->get_logs(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBLogger->get_logs() ACCESSES_TABLES:wp_actionscheduler_logs CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/ActionScheduler_ListTable.php
Call_Func:ActionScheduler_DBLogger->log(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBLogger->log() ACCESSES_TABLES:wp_actionscheduler_logs CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/abstracts/ActionScheduler_Logger.php
Call_Func:ActionScheduler_DBStore->fetch_action(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBStore->fetch_action() ACCESSES_TABLES:wp_actionscheduler_actions CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/functions.php /var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/ActionScheduler_ListTable.php /var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/abstracts/ActionScheduler_Abstract_QueueRunner.ph
Call_Func:ActionScheduler_DBStore->find_actions_by_claim_id(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBStore->find_actions_by_claim_id() ACCESSES_TABLES:wp_actionscheduler_actions CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/data-stores/ActionScheduler_DBStore.php /var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/ActionScheduler_QueueRunner.php
Call_Func:ActionScheduler_DBStore->generate_claim_id(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBStore->generate_claim_id() ACCESSES_TABLES:wp_actionscheduler_claims CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/data-stores/ActionScheduler_DBStore.php
Call_Func:ActionScheduler_DBStore->get_claim_id(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBStore->get_claim_id() ACCESSES_TABLES:wp_actionscheduler_actions CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/ActionScheduler_ListTable.php
